Date,Hotel,Room_Available,Room_Sold,ADR,Room_Revenue
2025-01-11,D'Prima Hotel Petitenget,112,93,314959.0,29291187.0
2025-01-11,Daun Bali Seminyak Hotel,88,76,465785.0,35399660.0
2025-01-11,Kamania Hotel Petitenget,134,98,474487.0,46499726.0
2025-01-11,The Capital Hotel & Resort Seminyak,119,66,542923.0,35832918.0
2025-01-12,Liberta,100,72,220098.0,15847056.0
2025-01-12,Paragon Suites & Resort,115,72,316063.0,22756536.0
2025-01-12,D'Prima Hotel Petitenget,112,97,372059.0,36089723.0
2025-01-12,Kamania Hotel Petitenget,134,91,471938.0,42946358.0
2025-01-12,Daun Bali Seminyak Hotel,88,41,472010.0,19352410.0
2025-01-12,The Capital Hotel & Resort Seminyak,119,70,550218.0,38515260.0
2025-01-13,Liberta,100,85,234457.0,19928845.0
2025-01-13,Paragon Suites & Resort,115,65,320112.0,20807280.0
2025-01-13,D'Prima Hotel Petitenget,112,97,420746.0,40812362.0
2025-01-13,Daun Bali Seminyak Hotel,91,28,442290.0,12384120.0
2025-01-13,Kamania Hotel Petitenget,134,84,455411.0,38254524.0
2025-01-13,The Capital Hotel & Resort Seminyak,119,68,548367.0,37288956.0
2025-01-14,Liberta,100,79,230454.0,18205866.0
2025-01-14,Paragon Suites & Resort,115,49,300225.0,14711025.0
2025-01-14,D'Prima Hotel Petitenget,112,95,387465.0,36809175.0
2025-01-14,Daun Bali Seminyak Hotel,90,35,427732.0,14970620.0
2025-01-14,Kamania Hotel Petitenget,134,79,469050.0,37054950.0
2025-01-14,The Capital Hotel & Resort Seminyak,119,70,553492.0,38744440.0
2025-01-15,Liberta,100,76,225014.0,17101064.0
2025-01-15,Paragon Suites & Resort,115,70,281177.0,19682390.0
2025-01-15,D'Prima Hotel Petitenget,112,104,397482.0,41338128.0
2025-01-15,Daun Bali Seminyak Hotel,81,48,430010.0,20640480.0
2025-01-15,Kamania Hotel Petitenget,134,93,475416.0,44213688.0
2025-01-15,The Capital Hotel & Resort Seminyak,119,73,555292.0,40536316.0
2025-01-16,Liberta,100,82,220192.0,18055744.0
2025-01-16,Paragon Suites & Resort,115,70,300699.0,21048930.0
2025-01-16,D'Prima Hotel Petitenget,112,103,337494.0,34761882.0
2025-01-16,Daun Bali Seminyak Hotel,79,68,444958.0,30257144.0
2025-01-16,Kamania Hotel Petitenget,134,102,463136.0,47239872.0
2025-01-16,The Capital Hotel & Resort Seminyak,119,64,527114.0,33735296.0
2025-01-17,Liberta,100,85,222561.0,18917685.0
2025-01-17,Paragon Suites & Resort,115,76,310634.0,23608184.0
2025-01-17,D'Prima Hotel Petitenget,112,99,372426.0,36870174.0
2025-01-17,Kamania Hotel Petitenget,134,105,451710.0,47429550.0
2025-01-17,Daun Bali Seminyak Hotel,86,80,488273.0,39061840.0
2025-01-17,The Capital Hotel & Resort Seminyak,119,69,531669.0,36685161.0
2025-01-18,Liberta,100,87,239011.0,20793957.0
2025-01-18,Paragon Suites & Resort,115,76,321125.0,24405500.0
2025-01-18,D'Prima Hotel Petitenget,112,103,410208.0,42251424.0
2025-01-18,Kamania Hotel Petitenget,134,120,475317.0,57038040.0
2025-01-18,Daun Bali Seminyak Hotel,90,86,494318.0,42511348.0
2025-01-18,The Capital Hotel & Resort Seminyak,119,63,521535.0,32856705.0
2025-01-19,Liberta,100,87,240702.0,20941074.0
2025-01-19,D'Prima Hotel Petitenget,112,104,330279.0,34349016.0
2025-01-19,Paragon Suites & Resort,115,81,330621.0,26780301.0
2025-01-19,Daun Bali Seminyak Hotel,88,68,444427.0,30221036.0
2025-01-19,Kamania Hotel Petitenget,134,123,472463.0,58112949.0
2025-01-19,The Capital Hotel & Resort Seminyak,119,67,549874.0,36841558.0
2025-01-20,Liberta,100,85,238985.0,20313725.0
2025-01-20,Paragon Suites & Resort,115,75,312217.0,23416275.0
2025-01-20,D'Prima Hotel Petitenget,112,104,329060.0,34222240.0
2025-01-20,Daun Bali Seminyak Hotel,89,53,443243.0,23491879.0
2025-01-20,Kamania Hotel Petitenget,134,112,484245.0,54235440.0
2025-01-20,The Capital Hotel & Resort Seminyak,119,73,560321.0,40903433.0
2025-01-21,Liberta,100,88,231796.0,20398048.0
2025-01-21,Paragon Suites & Resort,115,78,323956.0,25268568.0
2025-01-21,D'Prima Hotel Petitenget,112,105,386472.0,40579560.0
2025-01-21,Daun Bali Seminyak Hotel,89,51,438220.0,22349220.0
2025-01-21,Kamania Hotel Petitenget,134,106,465598.0,49353388.0
2025-01-21,The Capital Hotel & Resort Seminyak,119,70,563314.0,39431980.0
2025-01-22,Liberta,100,83,243468.0,20207844.0
2025-01-22,Paragon Suites & Resort,115,69,331291.0,22859079.0
2025-01-22,D'Prima Hotel Petitenget,112,101,363863.0,36750163.0
2025-01-22,Daun Bali Seminyak Hotel,89,60,442174.0,26530440.0
2025-01-22,Kamania Hotel Petitenget,134,101,470375.0,47507875.0
2025-01-22,The Capital Hotel & Resort Seminyak,119,67,520552.0,34876984.0
2025-01-23,Liberta,100,75,246228.0,18467100.0
2025-01-23,D'Prima Hotel Petitenget,112,105,349962.0,36746010.0
2025-01-23,Paragon Suites & Resort,115,73,353725.0,25821925.0
2025-01-23,Daun Bali Seminyak Hotel,88,73,471664.0,34431472.0
2025-01-23,Kamania Hotel Petitenget,134,118,506836.0,59806648.0
2025-01-23,The Capital Hotel & Resort Seminyak,119,69,532493.0,36742017.0
2025-01-24,Liberta,100,85,258824.0,22000040.0
2025-01-24,Paragon Suites & Resort,115,84,321767.0,27028428.0
2025-01-24,D'Prima Hotel Petitenget,112,106,361382.0,38306492.0
2025-01-24,Daun Bali Seminyak Hotel,88,84,485202.0,40756968.0
2025-01-24,Kamania Hotel Petitenget,134,123,532252.0,65466996.0
2025-01-24,The Capital Hotel & Resort Seminyak,119,85,561943.0,47765155.0
2025-01-25,Liberta,100,90,262454.0,23620860.0
2025-01-25,Paragon Suites & Resort,115,95,302695.0,28756025.0
2025-01-25,D'Prima Hotel Petitenget,112,109,407938.0,44465242.0
2025-01-25,Daun Bali Seminyak Hotel,91,87,490309.0,42656883.0
2025-01-25,The Capital Hotel & Resort Seminyak,119,90,521027.0,46892430.0
2025-01-25,Kamania Hotel Petitenget,134,132,546319.0,72114108.0
2025-01-26,Liberta,100,92,253134.0,23288328.0
2025-01-26,Paragon Suites & Resort,115,91,317248.0,28869568.0
2025-01-26,D'Prima Hotel Petitenget,112,109,421494.0,45942846.0
2025-01-26,Daun Bali Seminyak Hotel,91,88,474641.0,41768408.0
2025-01-26,Kamania Hotel Petitenget,134,129,522820.0,67443780.0
2025-01-26,The Capital Hotel & Resort Seminyak,119,92,548312.0,50444704.0
2025-01-27,Liberta,100,92,252492.0,23229264.0
2025-01-27,Paragon Suites & Resort,115,87,311260.0,27079620.0
2025-01-27,D'Prima Hotel Petitenget,112,111,423741.0,47035251.0
2025-01-27,Daun Bali Seminyak Hotel,91,84,468927.0,39389868.0
2025-01-27,Kamania Hotel Petitenget,134,129,507516.0,65469564.0
2025-01-27,The Capital Hotel & Resort Seminyak,119,95,536181.0,50937195.0
2025-01-28,Liberta,100,91,255958.0,23292178.0
2025-01-28,Paragon Suites & Resort,115,90,315874.0,28428660.0
2025-01-28,D'Prima Hotel Petitenget,112,109,400415.0,43645235.0
2025-01-28,Daun Bali Seminyak Hotel,91,80,458294.0,36663520.0
2025-01-28,Kamania Hotel Petitenget,134,122,486771.0,59386062.0
2025-01-28,The Capital Hotel & Resort Seminyak,119,80,564310.0,45144800.0
2025-01-29,Liberta,100,82,274933.0,22544506.0
2025-01-29,Paragon Suites & Resort,115,93,332570.0,30929010.0
2025-01-29,D'Prima Hotel Petitenget,112,99,400279.0,39627621.0
2025-01-29,Daun Bali Seminyak Hotel,91,80,465851.0,37268080.0
2025-01-29,Kamania Hotel Petitenget,134,114,495145.0,56446530.0
2025-01-29,The Capital Hotel & Resort Seminyak,119,80,567180.0,45374400.0
2025-01-30,Liberta,100,85,284857.0,24212845.0
2025-01-30,Paragon Suites & Resort,115,99,325736.0,32247864.0
2025-01-30,D'Prima Hotel Petitenget,112,96,356492.0,34223232.0
2025-01-30,Daun Bali Seminyak Hotel,91,81,468941.0,37984221.0
2025-01-30,Kamania Hotel Petitenget,134,113,493630.0,55780190.0
2025-01-30,The Capital Hotel & Resort Seminyak,119,73,561975.0,41024175.0
2025-01-31,Liberta,100,81,253426.0,20527506.0
2025-01-31,Paragon Suites & Resort,115,73,327366.0,23897718.0
2025-01-31,D'Prima Hotel Petitenget,112,99,362204.0,35858196.0
2025-01-31,Daun Bali Seminyak Hotel,91,83,451718.0,37492594.0
2025-01-31,Kamania Hotel Petitenget,134,109,498394.0,54324946.0
2025-01-31,The Capital Hotel & Resort Seminyak,119,67,548384.0,36741728.0
2025-02-01,Liberta,100,93,249289.0,23183877.0
2025-02-01,Paragon Suites & Resort,115,85,315167.0,26789195.0
2025-02-01,D'Prima Hotel Petitenget,112,99,349564.0,34606836.0
2025-02-01,Daun Bali Seminyak Hotel,89,87,477474.0,41540238.0
2025-02-01,Kamania Hotel Petitenget,134,94,478363.0,44966122.0
2025-02-01,The Capital Hotel & Resort Seminyak,119,69,556006.0,38364414.0
2025-02-02,Liberta,100,85,259458.0,22053930.0
2025-02-02,Paragon Suites & Resort,115,79,327997.0,25911763.0
2025-02-02,D'Prima Hotel Petitenget,112,94,349079.0,32813426.0
2025-02-02,Daun Bali Seminyak Hotel,88,61,448277.0,27344897.0
2025-02-02,Kamania Hotel Petitenget,134,85,478375.0,40661875.0
2025-02-02,The Capital Hotel & Resort Seminyak,119,72,549276.0,39547872.0
2025-02-03,Liberta,100,76,252131.0,19161956.0
2025-02-03,Paragon Suites & Resort,115,79,321938.0,25433102.0
2025-02-03,D'Prima Hotel Petitenget,112,93,396434.0,36868362.0
2025-02-03,Daun Bali Seminyak Hotel,90,54,461135.0,24901290.0
2025-02-03,Kamania Hotel Petitenget,134,74,481943.0,35663782.0
2025-02-03,The Capital Hotel & Resort Seminyak,119,67,555458.0,37215686.0
2025-02-04,Liberta,100,83,251224.0,20851592.0
2025-02-04,Paragon Suites & Resort,115,82,326921.0,26807522.0
2025-02-04,D'Prima Hotel Petitenget,112,102,371428.0,37885656.0
2025-02-04,Daun Bali Seminyak Hotel,91,52,447454.0,23267608.0
2025-02-04,Kamania Hotel Petitenget,134,84,465984.0,39142656.0
2025-02-04,The Capital Hotel & Resort Seminyak,119,68,552486.0,37569048.0
2025-02-05,Liberta,100,84,255312.0,21446208.0
2025-02-05,Paragon Suites & Resort,115,75,301139.0,22585425.0
2025-02-05,D'Prima Hotel Petitenget,112,96,401117.0,38507232.0
2025-02-05,Daun Bali Seminyak Hotel,91,49,437805.0,21452445.0
2025-02-05,Kamania Hotel Petitenget,134,88,441471.0,38849448.0
2025-02-05,The Capital Hotel & Resort Seminyak,119,62,489246.0,30333252.0
2025-02-06,Liberta,100,76,241132.0,18326032.0
2025-02-06,Paragon Suites & Resort,115,70,302734.0,21191380.0
2025-02-06,D'Prima Hotel Petitenget,112,107,401452.0,42955364.0
2025-02-06,Daun Bali Seminyak Hotel,91,63,431361.0,27175743.0
2025-02-06,Kamania Hotel Petitenget,134,87,441893.0,38444691.0
2025-02-06,The Capital Hotel & Resort Seminyak,119,65,512839.0,33334535.0
2025-02-07,Liberta,100,86,243158.0,20911588.0
2025-02-07,Paragon Suites & Resort,115,76,287325.0,21836700.0
2025-02-07,D'Prima Hotel Petitenget,112,109,396644.0,43234196.0
2025-02-07,Daun Bali Seminyak Hotel,91,49,446514.0,21879186.0
2025-02-07,Kamania Hotel Petitenget,134,106,465005.0,49290530.0
2025-02-07,The Capital Hotel & Resort Seminyak,119,67,520014.0,34840938.0
2025-02-08,Liberta,100,94,244566.0,22989204.0
2025-02-08,Paragon Suites & Resort,115,77,312576.0,24068352.0
2025-02-08,D'Prima Hotel Petitenget,112,108,394682.0,42625656.0
2025-02-08,Daun Bali Seminyak Hotel,90,63,444712.0,28016856.0
2025-02-08,Kamania Hotel Petitenget,134,110,452504.0,49775440.0
2025-02-08,The Capital Hotel & Resort Seminyak,119,65,519869.0,33791485.0
2025-02-09,Liberta,100,77,287494.0,22137038.0
2025-02-09,Paragon Suites & Resort,115,61,308697.0,18830517.0
2025-02-09,D'Prima Hotel Petitenget,112,107,390037.0,41733959.0
2025-02-09,Kamania Hotel Petitenget,134,86,436734.0,37559124.0
2025-02-09,Daun Bali Seminyak Hotel,90,50,447580.0,22379000.0
2025-02-09,The Capital Hotel & Resort Seminyak,119,67,530212.0,35524204.0
2025-02-10,Liberta,100,70,300647.0,21045290.0
2025-02-10,Paragon Suites & Resort,115,70,315771.0,22103970.0
2025-02-10,D'Prima Hotel Petitenget,112,105,376193.0,39500265.0
2025-02-10,Daun Bali Seminyak Hotel,91,41,447662.0,18354142.0
2025-02-10,Kamania Hotel Petitenget,134,82,453410.0,37179620.0
2025-02-10,The Capital Hotel & Resort Seminyak,119,63,501247.0,31578561.0
2025-02-11,Liberta,100,66,295214.0,19484124.0
2025-02-11,Paragon Suites & Resort,115,72,322569.0,23224968.0
2025-02-11,D'Prima Hotel Petitenget,112,87,396481.0,34493847.0
2025-02-11,Daun Bali Seminyak Hotel,91,51,436457.0,22259307.0
2025-02-11,Kamania Hotel Petitenget,134,78,445729.0,34766862.0
2025-02-11,The Capital Hotel & Resort Seminyak,119,57,521177.0,29707089.0
2025-02-12,Liberta,100,70,289112.0,20237840.0
2025-02-12,Paragon Suites & Resort,115,79,292758.0,23127882.0
2025-02-12,D'Prima Hotel Petitenget,112,100,401140.0,40114000.0
2025-02-12,Kamania Hotel Petitenget,134,82,444130.0,36418660.0
2025-02-12,Daun Bali Seminyak Hotel,88,72,447671.0,32232312.0
2025-02-12,The Capital Hotel & Resort Seminyak,119,62,560222.0,34733764.0
2025-02-13,Paragon Suites & Resort,115,81,301409.0,24414129.0
2025-02-13,Liberta,100,84,302118.0,25377912.0
2025-02-13,D'Prima Hotel Petitenget,112,100,354089.0,35408900.0
2025-02-13,Kamania Hotel Petitenget,134,90,452195.0,40697550.0
2025-02-13,Daun Bali Seminyak Hotel,87,86,455672.0,39187792.0
2025-02-13,The Capital Hotel & Resort Seminyak,119,56,501324.0,28074144.0
2025-02-14,Liberta,100,74,300921.0,22268154.0
2025-02-14,Paragon Suites & Resort,115,87,312686.0,27203682.0
2025-02-14,D'Prima Hotel Petitenget,112,112,378594.0,42402528.0
2025-02-14,Kamania Hotel Petitenget,134,104,458262.0,47659248.0
2025-02-14,Daun Bali Seminyak Hotel,87,85,474014.0,40291190.0
2025-02-14,The Capital Hotel & Resort Seminyak,119,61,525214.0,32038054.0
2025-02-15,Liberta,100,81,271732.0,22010292.0
2025-02-15,Paragon Suites & Resort,115,93,315779.0,29367447.0
2025-02-15,D'Prima Hotel Petitenget,112,110,396704.0,43637440.0
2025-02-15,Kamania Hotel Petitenget,134,110,469095.0,51600450.0
2025-02-15,Daun Bali Seminyak Hotel,90,88,469415.0,41308520.0
2025-02-15,The Capital Hotel & Resort Seminyak,119,66,535385.0,35335410.0
2025-02-16,Liberta,100,82,285709.0,23428138.0
2025-02-16,Paragon Suites & Resort,115,85,322480.0,27410800.0
2025-02-16,D'Prima Hotel Petitenget,112,109,384233.0,41881397.0
2025-02-16,Kamania Hotel Petitenget,134,94,469592.0,44141648.0
2025-02-16,Daun Bali Seminyak Hotel,91,72,470872.0,33902784.0
2025-02-16,The Capital Hotel & Resort Seminyak,119,71,570988.0,40540148.0
2025-02-17,Liberta,100,85,286889.0,24385565.0
2025-02-17,Paragon Suites & Resort,115,78,316282.0,24669996.0
2025-02-17,D'Prima Hotel Petitenget,112,110,402742.0,44301620.0
2025-02-17,Daun Bali Seminyak Hotel,90,69,454538.0,31363122.0
2025-02-17,Kamania Hotel Petitenget,134,73,473941.0,34597693.0
2025-02-17,The Capital Hotel & Resort Seminyak,119,70,563137.0,39419590.0
2025-02-18,Liberta,100,78,265190.0,20684820.0
2025-02-18,Paragon Suites & Resort,115,71,301589.0,21412819.0
2025-02-18,D'Prima Hotel Petitenget,112,101,402746.0,40677346.0
2025-02-18,Daun Bali Seminyak Hotel,88,65,456898.0,29698370.0
2025-02-18,Kamania Hotel Petitenget,134,69,474785.0,32760165.0
2025-02-18,The Capital Hotel & Resort Seminyak,119,65,501324.0,32586060.0
2025-02-19,Liberta,100,80,269868.0,21589440.0
2025-02-19,Paragon Suites & Resort,115,63,285517.0,17987571.0
2025-02-19,D'Prima Hotel Petitenget,112,101,401287.0,40529987.0
2025-02-19,Daun Bali Seminyak Hotel,84,66,455950.0,30092700.0
2025-02-19,Kamania Hotel Petitenget,134,80,472854.0,37828320.0
2025-02-19,The Capital Hotel & Resort Seminyak,119,68,540559.0,36758012.0
2025-02-20,Liberta,100,86,268877.0,23123422.0
2025-02-20,Paragon Suites & Resort,115,53,286115.0,15164095.0
2025-02-20,D'Prima Hotel Petitenget,112,104,421146.0,43799184.0
2025-02-20,Daun Bali Seminyak Hotel,89,56,448257.0,25102392.0
2025-02-20,Kamania Hotel Petitenget,134,86,482417.0,41487862.0
2025-02-20,The Capital Hotel & Resort Seminyak,119,66,516187.0,34068342.0
2025-02-21,Liberta,100,85,253129.0,21515965.0
2025-02-21,Paragon Suites & Resort,115,57,287750.0,16401750.0
2025-02-21,D'Prima Hotel Petitenget,112,108,339790.0,36697320.0
2025-02-21,Daun Bali Seminyak Hotel,90,56,426624.0,23890944.0
2025-02-21,Kamania Hotel Petitenget,134,98,469794.0,46039812.0
2025-02-21,The Capital Hotel & Resort Seminyak,119,70,521346.0,36494220.0
2025-02-22,Liberta,100,96,250242.0,24023232.0
2025-02-22,Paragon Suites & Resort,115,61,288110.0,17574710.0
2025-02-22,D'Prima Hotel Petitenget,112,111,345347.0,38333517.0
2025-02-22,Daun Bali Seminyak Hotel,91,74,441591.0,32677734.0
2025-02-22,Kamania Hotel Petitenget,134,101,470005.0,47470505.0
2025-02-22,The Capital Hotel & Resort Seminyak,119,67,521309.0,34927703.0
2025-02-23,Liberta,100,83,248269.0,20606327.0
2025-02-23,Paragon Suites & Resort,115,63,290113.0,18277119.0
2025-02-23,D'Prima Hotel Petitenget,112,104,395995.0,41183480.0
2025-02-23,Daun Bali Seminyak Hotel,91,53,447962.0,23741986.0
2025-02-23,Kamania Hotel Petitenget,134,85,469500.0,39907500.0
2025-02-23,The Capital Hotel & Resort Seminyak,119,60,611211.0,36672660.0
2025-02-24,Liberta,100,81,245390.0,19876590.0
2025-02-24,Paragon Suites & Resort,115,53,301175.0,15962275.0
2025-02-24,D'Prima Hotel Petitenget,112,84,395421.0,33215364.0
2025-02-24,Kamania Hotel Petitenget,134,97,462148.0,44828356.0
2025-02-24,Daun Bali Seminyak Hotel,91,35,465801.0,16303035.0
2025-02-24,The Capital Hotel & Resort Seminyak,119,63,530001.0,33390063.0
2025-02-25,Liberta,100,85,242681.0,20627885.0
2025-02-25,Paragon Suites & Resort,115,47,285150.0,13402050.0
2025-02-25,D'Prima Hotel Petitenget,112,94,325648.0,30610912.0
2025-02-25,Daun Bali Seminyak Hotel,89,38,424450.0,16129100.0
2025-02-25,Kamania Hotel Petitenget,134,93,459312.0,42716016.0
2025-02-25,The Capital Hotel & Resort Seminyak,119,57,512254.0,29198478.0
2025-02-26,Liberta,100,60,240142.0,14408520.0
2025-02-26,Paragon Suites & Resort,115,51,292784.0,14931984.0
2025-02-26,D'Prima Hotel Petitenget,112,99,325461.0,32220639.0
2025-02-26,Daun Bali Seminyak Hotel,89,41,419158.0,17185478.0
2025-02-26,The Capital Hotel & Resort Seminyak,119,46,459849.0,21153054.0
2025-02-26,Kamania Hotel Petitenget,134,87,466059.0,40547133.0
2025-02-27,Liberta,100,66,267577.0,17660082.0
2025-02-27,Paragon Suites & Resort,115,56,284138.0,15911728.0
2025-02-27,D'Prima Hotel Petitenget,112,95,402478.0,38235410.0
2025-02-27,Daun Bali Seminyak Hotel,90,43,407375.0,17517125.0
2025-02-27,Kamania Hotel Petitenget,134,102,459998.0,46919796.0
2025-02-27,The Capital Hotel & Resort Seminyak,119,42,494651.0,20775342.0
2025-02-28,Liberta,100,66,258639.0,17070174.0
2025-02-28,Paragon Suites & Resort,115,59,286772.0,16919548.0
2025-02-28,D'Prima Hotel Petitenget,112,76,332306.0,25255256.0
2025-02-28,Daun Bali Seminyak Hotel,90,43,433250.0,18629750.0
2025-02-28,Kamania Hotel Petitenget,134,96,450454.0,43243584.0
2025-02-28,The Capital Hotel & Resort Seminyak,119,50,515965.0,25798250.0
2025-03-01,Liberta,100,81,242768.0,19664208.0
2025-03-01,Paragon Suites & Resort,115,52,282939.0,14712828.0
2025-03-01,D'Prima Hotel Petitenget,112,91,336022.0,30578002.0
2025-03-01,Daun Bali Seminyak Hotel,89,38,419951.0,15958138.0
2025-03-01,Kamania Hotel Petitenget,134,95,447614.0,42523330.0
2025-03-01,The Capital Hotel & Resort Seminyak,119,53,512949.0,27186297.0
2025-03-02,Liberta,100,72,220256.0,15858432.0
2025-03-02,Paragon Suites & Resort,115,62,277623.0,17212626.0
2025-03-02,D'Prima Hotel Petitenget,112,69,349677.0,24127713.0
2025-03-02,Daun Bali Seminyak Hotel,88,34,427604.0,14538536.0
2025-03-02,Kamania Hotel Petitenget,134,80,439327.0,35146160.0
2025-03-02,The Capital Hotel & Resort Seminyak,119,43,520324.0,22373932.0
2025-03-03,Liberta,100,84,241738.0,20305992.0
2025-03-03,Paragon Suites & Resort,115,48,273998.0,13151904.0
2025-03-03,D'Prima Hotel Petitenget,112,63,318038.0,20036394.0
2025-03-03,Daun Bali Seminyak Hotel,90,38,433342.0,16466996.0
2025-03-03,Kamania Hotel Petitenget,134,64,468111.0,29959104.0
2025-03-03,The Capital Hotel & Resort Seminyak,119,48,550148.0,26407104.0
2025-03-04,Liberta,100,77,247164.0,19031628.0
2025-03-04,Paragon Suites & Resort,115,51,284710.0,14520210.0
2025-03-04,D'Prima Hotel Petitenget,112,58,322114.0,18682612.0
2025-03-04,Daun Bali Seminyak Hotel,91,35,431981.0,15119335.0
2025-03-04,Kamania Hotel Petitenget,134,66,459213.0,30308058.0
2025-03-04,The Capital Hotel & Resort Seminyak,119,42,520351.0,21854742.0
2025-03-05,Liberta,100,52,229921.0,11955892.0
2025-03-05,Paragon Suites & Resort,115,46,271930.0,12508780.0
2025-03-05,D'Prima Hotel Petitenget,112,72,320484.0,23074848.0
2025-03-05,Daun Bali Seminyak Hotel,90,25,426736.0,10668400.0
2025-03-05,Kamania Hotel Petitenget,134,65,445959.0,28987335.0
2025-03-05,The Capital Hotel & Resort Seminyak,119,49,515849.0,25276601.0
2025-03-06,Liberta,100,59,230385.0,13592715.0
2025-03-06,D'Prima Hotel Petitenget,112,87,282233.0,24554271.0
2025-03-06,Paragon Suites & Resort,115,53,294738.0,15621114.0
2025-03-06,Daun Bali Seminyak Hotel,90,23,427523.0,9833029.0
2025-03-06,Kamania Hotel Petitenget,134,68,441647.0,30031996.0
2025-03-06,The Capital Hotel & Resort Seminyak,119,42,487419.0,20471598.0
2025-03-07,Liberta,100,69,269211.0,18575559.0
2025-03-07,D'Prima Hotel Petitenget,112,96,286033.0,27459168.0
2025-03-07,Paragon Suites & Resort,115,35,299658.0,10488030.0
2025-03-07,Kamania Hotel Petitenget,134,70,417670.0,29236900.0
